country,description,designation,points,price,province,region,variety,winery
US,"Bergström has made a Shea designate since 2003, intent on showcasing a “pretty” style of the vineyard. Here are lovely aromatics, with grape jelly, rose petals and plum in the nose, and a complex run of red fruits in the mouth. Streaks of cola, brown sugar and more come up in a generous finish.",Shea Vineyard,94,62.0,Oregon,Willamette Valley,pinot  noir,Bergström
US,"Focused and dense, this intense wine captures the essence of ripe raspberries. Aged in 50% new French oak, it's got a strong vein of coffee and mocha. The flavors broaden out and penetrate, finishing with highlights of cedar, cinnamon and dark chocolate. Drink now through the 2020s, but decant if you want the full expression.",Abetina,94,105.0,Oregon,Willamette Valley,PINOT  NOIR,Ponzi
US,"Cranberry, baked rhubarb, anise and crushed slate aromas show on the nose of this always-excellent bottling from the Franscioni family. The palate abounds with energy, driving black raspberry fruit accented with earthy loam, fennel, oregano and juniper through a compellingly round midpalate.",Garys' Vineyard,94,60.0,California,Santa Lucia Highlands,PINOT  NOIR,Roar
US,"This standout Rocks District wine brings earth shaking aromas of black-olive brine, tapenade, green olive, stargazer lilies, orange peel and crushed gravel. The smoked meat, charcuterie and blue-fruit flavors don't hold back, bringing a lovely sense of texture and detail. It's an intense wine that completely demands your attention.",The Funk Estate,94,60.0,Washington,Walla Walla Valley (WA), SYRAH,Saviah
US,"Steely and perfumed, this wine sees only 20% new French oak, remaining vibrantly fresh. Baked apple and lemon pith veer into grapefruit on the palate, with spiciness to the finish that's both brash and loud.",Babushka,90,37.0,California,Russian River Valley, chardonnay,Zepaltas
US,"The aromas entice with notes of wet stone, honeysuckle, chamomile and stone fruit. The palate is generous in flavor and feel, showing a fine sense of balance.",Conner Lee Vineyard,90,42.0,Washington,Columbia Valley (WA),Chardonnay ,Buty
Italy,"This bright, savory wine delivers aromas and flavors of juicy wild cherry, black raspberry, violet, white pepper and mocha. Polished tannins provide the framework. Enjoy through 2020.",Riserva,90,29.0,Tuscany,Chianti Classico,RED BLEND,Castello di Monterinaldi
Italy,"Aromas of dark-skinned berry, rose and wild herb lead the nose. The round, juicy palate doles out ripe black cherry, fleshy raspberry, white pepper and clove while polished tannins provide a smooth, velvety framework. Enjoy through 2019.",Riserva,90,39.0,Tuscany,Chianti Classico, red blend,Rignana
France,"Dark in color and in flavor profile, this medium-bodied Cornas boasts aromas and flavors reminiscent of chocolate fudge, espresso and plummy fruit, all framed by soft, dusty tannins. Drink now–2025.",Coteaux,90,69.0,Rhône Valley,Cornas,SYRAH ,Tardieu-Laurent
Italy,"A blend of 90% Sangiovese and 10% Canaiolo, this opens with aromas of violet, mature plum, espresso and a whiff of forest floor. The firm palate offers dried black cherry, ground pepper, toast and clove while packed, fine-grained tannins provide support. Drink through 2020.",Vigneto Odoardo Beccari Riserva,90,30.0,Tuscany,Chianti Classico, Red blend,Vignavecchia
US,"Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020.",Estate Grown,90,60.0,California,Mount Veeder, cabernet sauvignon,Brandlin
US,"The aromas of blue fruit, herbs and spice are initially under tight restraint. The flavors are full, with the tannins simultaneously firm and fine grained. It shows good length.",,90,40.0,Washington,Red Mountain,Cabernet sauvignon,Canvasback
France,"This structured, complex Chardonnay is packed with minerality and considerable weight. The tight texture and almost tannic character will soften over the next few months. Full of potential, it's drinkable now but will be so much better from 2017.",,90,68.0,Burgundy,Chassagne-Montrachet,chardonnay,Chartron et Trébuchet
France,"This ripe, full-bodied wine has ripe green fruits that are lifted by lime and made richer by apricot. Still young, with a concentrated structure, it's going to develop into a full, beautifully fruity wine. The name of the wine means the size of a parcel that demands the work of seven men for a day. Drink from 2017.",Les 7 Hommes,90,42.0,Loire Valley,Sancerre, sauvignon blanc,Cherrier Frères
France,"With its light color and cool feel, this well-balanced wine comes from a parcel of 30-year-old vines. The smoky tannins and intense acidity give a wine that will develop well and slowly. It's still young with its red-berry fruits and fresh aftertaste. Drink from 2018.",L'Inédit,90,28.0,Loire Valley,Coteaux du Giennois,pinot  noir,Clement et Florian Berthier
US,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak.",,90,18.0,California,Russian River Valley,Chardonnay,De Loach
US,"A blend of Cabernet from Grand Ciel (31%), Ciel du Cheval (30%), Upchurch (28%) and Klipsun (11%) vineyards, wood spice aromas start out up front. The cherry flavors are light and elegant, with the tannins bringing some grip.",Four Flags,90,69.0,Washington,Red Mountain, cabernet sauvignon,DeLille
US,"While exuberantly fruity, almost tropical on the nose, there's a crystalline edge to this dry Riesling that renders it especially refreshing. It's vibrant and light footed, brightened by a lingering honey note on the finish.",Reserve,90,25.0,New York,Finger Lakes,Riesling,Dr. Konstantin Frank
Italy,"This savory blend of 40% Merlot, 30% Cabernet Sauvignon, 25% Cabernet Franc and 5% Syrah opens with aromas of roasted coffee bean, leather, tobacco and dark woodland berry. The chewy palate offers juicy plum, cassis and clove alongside polished tannins. Drink through 2019.",Poggio Bestiale,90,60.0,Tuscany,Maremma Toscana,RED BLEND ,Fattoria di Magliano
Australia,"Moorooduc's estate Pinot Noir is a solid value among the boutique offerings from the Mornington Peninsula. There's a supple cushioning of flesh wrapped around a firm backbone of acid, while the flavors run from black cherry and mint through earthier notes of brown sugar and roasted parsnip. Drink now through 2020.",,91,36.0,Victoria,Mornington Peninsula,Pinot  noir,Moorooduc
France,"L'Homme Mort is a northern extension of the Fourchaume Premier Cru vineyard, so called because this was where a local lord dispensed justice by death. It often produces cooler wines such as this. It is tight, with toasted bread hints and with a strongly tangy character. It does need to develop and shouldn't be drunk before 2018.",L'Homme Mort Premier Cru,91,45.0,Burgundy,Chablis, chardonnay,Domaine Chenevières
US,"Fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon, dill and hot gravel on the nose of this wine, from an area between Gilroy and Morgan Hill. Peppercorns are prominent on the relatively light palate, along with tobacco, espresso and boysenberry.",Estate Select,91,36.0,California,Santa Clara Valley,SYRAH ,Jason-Stephens
France,"The steely character of a young Chablis is very apparent in this wine. It is crisp, lemon flavored and with a mineral edge. The wine has a juicy freshness, still young at heart and needing to age. Drink from 2018.",Fourchaume Premier Cru,91,38.0,Burgundy,Chablis,CHARDONNAY ,Louis Max
US,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Animo,91,85.0,California,Napa Valley,Cabernet  sauvignon,Michael Mondavi Family Estate
US,"Big, bold, dark and chewy, this builds upon substantial black-cherry fruit and supporting acids. Still knitting together, it shows highlights of cedar and tobacco, along with thick tannins. Give this a couple more years of bottle age, and drink after 2018.",Schindler Vineyard,91,50.0,Oregon,Eola-Amity Hills,Pinot  noir,Panther Creek
US,"A juiciness of cherry and vanilla spark the opening of this wine, a celebration of the vintage, appellation and in this case, fruit-forwardness of the variety. With a backbone of oak and cedar, it has smooth tannins and medium weight, finishing in mocha chocolate. Drink now through 2022.",Barrel Select,91,60.0,California,Rutherford,cabernet  sauvignon,Provenance Vineyards
US,"Sweetened tannins highlight a depth of chocolate and blackberry in this 100% varietal wine made in small amounts. Soft and juicy, it crafts a balance of richness and density around elegant spicy clove and cinnamon.",District Collection,91,85.0,California,St. Helena,CABERNET SAUVIGNON ,Raymond
US,"This wine draws from a handful of tremendous vineyard sites, including the producer's estate, Platt and Clary Ranch, all cool-climate and windswept. It's a tight, light and minimally messed-with wine, bright in cherry, pomegranate and rose.",,91,45.0,California,Sonoma Coast,PINOT NOIR ,Red Car
US,"An elegant blend from different estate vineyards, this widely available cuvée brings sturdy tannins and red currant fruit, highlighted with pretty baking spices. It would be an ideal match for roast duck with an orange sauce.",Premier Cuvée,91,54.0,Oregon,Willamette Valley,Pinot noir ,Archery Summit
France,"This wine is bone-dry, although with some age the shock of the acidity has been rounded out by a hint of toast. It's linear, fresh and intensely crisp, with citrus and almond tones. Drink this wine from a good vintage now.",Le Nombre d'Or Brut Nature,91,85.0,Champagne,Champagne,CHARDONNAY,Aubry
US,"Given four months in concrete egg, this is an exotically crisp and textured white, lean and high in acidity with plenty of mouthcoating body to find its balance. Lemon, grapefruit and tangerine are the highlights, finished in refreshing layers of white peach.",Juliana Vineyard,91,38.0,California,Napa Valley,SAUVIGNON BLANC,B Cellars
US,"This wine over-delivers in quality for the price. It's made from mostly Cabernet Sauvignon, with handfuls of Merlot, Malbec, Petit Verdot and Cabernet Franc blended in to good effect. The whole combines into layers of chocolate and graham cracker, dappled in vanilla and jam. Thick tannins suggest a swirl or two of the glass. The finish is all tobacco.",,91,28.0,California,Napa Valley,CABERNET SAUVIGNON ,B Side
US,"Generous black-cherry fruit anchors this barrel-aged wine that remains tartly acidic, with pretty accents of toast and mocha. Focused, young and fresh, it should drink optimally 2018–2028.",Aeolian,91,42.0,Oregon,Eola-Amity Hills,PINOT NOIR ,Bethel Heights
France,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017.",Montmains Premier Cru,91,45.0,Burgundy,Chablis,Chardonnay ,Domaine Gérard Duplessis
US,"From a multiplicity of vineyards, this wine works and is a tremendous value for the price. It mixes hot mulled-cider spices, cinnamon, clove and pine forest, conveying surprising depth. Plum, dark cherry and more clove lead to a powerful, leathery finish.",,91,22.0,California,Napa Valley,Cabernet  sauvignon,Eagle Glen
US,"The first Pinot Noir release from this producer, this is a velvety-smooth, exotic and charming wine, light on the palate despite a concentration of ripe, rich fruit. Kirsch, cherry, raspberry and cinnamon combine to make the wine invitingly lush and plush.",Bacigalupi Vineyard,91,65.0,California,Russian River Valley,PINOT  NOIR,Eleven Eleven
US,"Bright, light oak shadings dress up this medium-bodied wine, complementing the red cherry and strawberry flavors. It's fresh, fruity and not very tannic—easy to drink and enjoy.",,86,10.0,California,California, Cabernet sauvignon,Belle Ambiance
US,"A smoky scent and earthy, crisp-apple flavors make this medium-bodied wine a change of pace from the average butterball Chardonnay. It has welcome acidity and a nicely smooth texture.",Small Lot Blend,86,13.0,California,Mendocino County, chardonnay,Parducci
US,"This is an easygoing wine that's neither too oaky nor too crisp, with a decent blend of ripe pear and baking spice flavors paired with soft, smooth texture.",,86,18.0,California,California,Chardonnay ,The Naked Grape
US,"Blended with small amounts of Merlot, Cabernet Franc, Petit Verdot and Malbec, this is an austere, unfussy red made in modest quantities that has crisp red currant and cranberry flavors interwoven with cedar and dried herb.",,86,36.0,California,Sonoma Valley,CABERNET  SAUVIGNON,Tin Barn
US,"Brambly and herbal, this wine shows bright acidity underlying a full-bodied, incoherently ripe palate of tar, toffee and rich cola notes.",Stephanie,86,50.0,California,Napa Valley, Cabernet sauvignon,Hestan
US,"This medium-bodied wine has more earthy and floral flavors than straightforward fruit, so it's something a bit different. Well-priced and easy to drink, it can please a crowd.",,86,10.0,California,California,CHARDONNAY ,Leaping Horse
US,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",Homestead Block,86,45.0,California,Napa Valley, CHARDONNAY,Kuleto Estate
US,"This mountain-grown wine is hugely tannic and oaky, hard to penetrate in its full-bodied ripeness. Smoky oak and currant flavors vie for attention against a backdrop of concentration and power.",Limited Release Cold Springs Vineyard,86,125.0,California,Howell Mountain,Cabernet sauvignon ,Charles Krug
US,"Savory apples and pears mingle into lemon and bramble in this slightly earthy off-dry Riesling. Sunny tangerine acidity is easy but bright, leading a delicately sweet finish.",Castle Hill Vineyard,86,25.0,New York,Hudson River Region, RIESLING,Millbrook
US,"Let this burly, big-boned beauty open to fully enjoy its robust oak and fistfuls of black cherry, the oak showing in terms of toasty, slightly reductive aromas. A smooth texture keeps the wine flowing along a concentrated highway of power and ripeness.",The Flyer,91,59.0,California,Russian River Valley,pinot noir,MacPhail
US,"This small-quantity selection from within the Charles Vineyard was fermented by native yeast, and neither fined nor filtered. It is quite aromatic, full bodied and moderately fruity, and has a nice rounded mouthfeel, generous red-cherry and spice flavors and good structure from acidity and mild tannins. Tart cherry lingers on the finish.",Charles Vineyard Clone 05,91,49.0,California,Anderson Valley,PINOT  NOIR,Foursight
US,"This wine takes time to unravel and reveal itself, rewarding the patient with a wealth of high-toned citrus and elegantly wound, medium-bodied honeyed pear and caramel. Lengthy and complex, it's one to consider aging and allowing to further mellow over time. Drink now through 2021.",Paris Tasting Commemorative,91,93.0,California,Napa Valley,chardonnay,Grgich Hills
US,"This wine is tasty, tangy and nervy, bringing a very refreshing and appetizing mouthfeel, and wonderful fresh acidity. All of that tang shows good fruitiness too, as the red-cherry and cranberry flavors are vivid and concentrated. It's a versatile wine to drink now or buy by the case to save some bottles for more aging.",Methode a l'Ancienne,91,32.0,California,Anderson Valley, PINOT NOIR,Navarro
US,"This medium-bodied wine has a compelling blend of restraint and power. It offers modest, fruity aromas at first, then nice tart fruit flavors that start off lean and soon expand exponentially in the mouth before tapering off elegantly on the finish. With little oak flavor in the way, it gives pure Pinot sophistication.",,91,20.0,California,Anderson Valley, PINOT NOIR,Navarro
US,"This is a thick, chocolatey wine with a side of leather and black pepper that appeals on multiple levels. Full-bodied concentration gives way to a smooth, rounded palate robust in blackberry and vanilla.",Central Park West Vineyard,90,50.0,California,St. Helena,Cabernet sauvignon,Trinchero
US,"Fairly light in the glass, this bottling shows chalk, slate and wet-sand minerality on the nose, alongside Asian pear flesh, kiwi and honeydew fruit notes. The texture is quite pithy once sipped, showing grapefruit and apple skins, and then it warms toward yellow pears and a sea salt warmth.",,90,45.0,California,Santa Lucia Highlands,chardonnay ,Alexander-Smith
US,"This is a delightfully crisp, elegant and lip-smacking wine, that's subtle and easy to love. Lemon peel, apple skin and pear play together well, never becoming distracting, but instead integrating well with one another and the light hint of oak. Food friendly, it's also a great deal.",,90,16.0,California,Sonoma County,Chardonnay ,Benziger
US,"While Cabernet Sauvignon dominant, all five red Bordeaux varieties are represented here. Dark in color, a combination of black pepper and black-fruit syrup meets earthy and dry tannins. This structured wine needs time. Cellar through 2020.",Longwood,90,30.0,California,Napa Valley,Cabernet sauvignon,Beaucanon
US,"A sublime twist of citrus lies at the heart of this light yet complex white, which is refreshing and layered with a subtle bite of underlying oak. From a dry-farmed vineyard maintained by the same family for 30 years, this whole-cluster pressed wine was given time in a majority of stainless steel and neutral French oak. It shines in moderate acidity and tropical flair.",Rte Blanc,90,28.0,California,Napa Valley, Sauvignon blanc,Clif Family
US,"Estate grown and aged in Stainless steel, this racy and pungent wine is packed with rich, juicy fruit flavors. Apple, lemon-lime and tangerine are in the mix, showing that Chardonnay does not always need oak flavors to have real power.",,90,26.0,Oregon,Applegate Valley,CHARDONNAY ,Schmidt
US,"Red-cherry and strawberry aromas meld with rich fruit and warm baking-spice flavors to make this full-bodied wine hard to resist. The style is in the ripe, pastry shop mode, and soft tannins and acidity complete the picture.",,90,55.0,California,Anderson Valley,Pinot noir,Goldeneye
US,"Quite vibrant and floral on the nose, this shows deep blackberry and both dried and fresh purple-flower elements as well as a baked berry pastry. The flavors are well integrated on the palate, where cooked blackberries in a vanilla pie crust combine with juicy strawberry, peppercorns and rosemary spice.",,90,40.0,California,Sta. Rita Hills,syrah,Kessler-Haak
US,"Reflecting the vintage, this Pinot is light and lithe in style. It shows tart cherry fruit and suggestions of chocolate, with bright acidity and a thin finish.",,89,50.0,Oregon,Willamette Valley,pinot noir ,Bomb
France,"This well-balanced, fruity wine allows space for some solid dry tannins that also show wood aging. Berry fruits shine through the structure to give a juicy character that is underlined by the fresh acidity at the end.",,89,20.0,Southwest France,Cahors,BORDEAUX-STYLE RED BLEND,Chateau Quattre
US,"Winemaker Billy Wathen blends 60% Merlot and 40% Cabernet Franc into this blend that's named after the U.S. Geologic Survey's name for Happy Canyon. A nose of dried oregano and thyme has a Bing cherry backdrop, with a palate of green peppers, blackberries and tomato leaf.",Range 30 West,89,42.0,California,Happy Canyon of Santa Barbara,bordeaux-style  red  blend,Foxen 7200
US,"A blend of fruit from three Rogue Valley sites, this is a fine example of the style of Pinot made in Southern Oregon. The estate vineyard sits at 2,100 feet on a steep, east-facing slope, with densely planted vines. It's a big, blocky, full-bodied wine, loaded with flavors of black cherry, black coffee and barrel toast. Tannins are substantial, but the flavors are full and forward. What it lacks in elegance it makes up for in immediate likeability.",,89,35.0,Oregon,Oregon,PINOT NOIR,Irvine Family Vineyards
US,"This medium-bodied wine shows an array of smoky, meaty aromas, along with ripe plum and tart blackberry flavors. Not at all overripe, but made with some restraint, it allows savory flavors like tarragon and anise to peek through. The blend includes 9% Cabernet Sauvignon.",,89,16.0,California,Dunnigan Hills, SYRAH,Matchbook
US,"Tightly focused, as is often true of single-vineyard bottlings, this matches spicy berry fruit to light barrel flavors of milk chocolate. It's smooth and accessible, but finishes a bit short.",Freedom Hill Vineyard,89,36.0,Oregon,Willamette Valley,Pinot  noir,Silvan Ridge
Italy,"Crushed plum, espresso, tobacco and cedar aromas unfold in the glass. A blend of 90% Merlot and 10% Alicante, the straightforward palate offers blackberries, red currants, clove and licorice alongside fine-grained tannins.",Le Redini,89,25.0,Tuscany,Toscana,red  blend,Tenuta degli Dei
Italy,"Aromas of wild berries, violets and a whiff of spice lead the nose on this blend of Sangiovese and 15% Merlot. The savory, easygoing palate offers mature black cherry, clove and black pepper alongside lithe tannins. Drink through 2016.",Il Guardiano,89,22.0,Tuscany,Toscana,red  blend,Poggio Mandorlo
US,"This has a light yellow color with a touch of green and a subtle smell of crisp green apples. Flavors that are richer than expected, like poached pears, butter and fig. The texture is rich, the body full and the ripe flavors linger on the finish.",Del Arroyo Vineyard,89,25.0,California,Livermore Valley, CHARDONNAY,Occasio
US,"Rhubarb, cola and pencil shavings emerge from the glass on this appellation blend from the longtime Santa Rosa Road winery, today owned by the Terlato family. Deeply earthy aromas of beet juice, root beer and dried berries arise on the palate, showing the region's typical blend of soil minerality and dark fruit.",,89,42.0,California,Sta. Rita Hills,Pinot  noir,Sanford
US,"Made from what Californians call the Pommard clone, this has a light, traditional garnet color. Fresh and lively fruit aromas resemble cranberries and red cherries, followed by tangy fruit and cinnamon flavors of medium intensity, supported by firm acidity and moderate tannins.",Charles Vineyard Clone O5,89,49.0,California,Anderson Valley, Pinot noir,Foursight
Italy,"A robust blend of 70% Sangiovese and 30% Cabernet Sauvignon, this offers aromas of baked plum, mocha, menthol and oak-driven spice. The hearty palate initially opens with black fruit, chocolate, licorice and dried herb flavors but the heat of evident alcohol dominates the finish and the close.",Il Borgo,89,57.0,Tuscany,Toscana,red blend,Cabreo
US,"Juicy and soft in blackberry and black cherry, this wine is nicely resolved in terms of tannin and oak structure,. These provide weight on the back palate, with enough heightened acidity on the finish to stay on balance. Strawberry and dried herb close things out.",Lot 525,89,29.0,California,Napa Valley,cabernet sauvignon,Cameron Hughes
US,"Focused streaks of high-acidity lemon and a low oak profile combine for a refreshing take on Chardonnay, the other components coming together in swathes of fennel and brine. The wine finishes with a hit of power.",,88,25.0,California,Sonoma Coast,chardonnay ,Rodney Strong
US,"Oak aromas takes center stage with this wine by the Riboli family, with black cherry extract and a nearly Bourbon-barrel character on the nose. The rich, deep red fruit carries to the palate, which gains complexity from licorice and a tiny bit of tar.",Estate Reserve,88,25.0,California,Paso Robles, syrah,San Simeon
US,"Super earthy, in the classic damp forest-floor way, this also offers hints of menthol, eucalyptus and tomato leaf. The wine begins light bodied, but builds up power and weight as it goes. Layered with black cherry and plum, it's dark and savory.",Sonatera Vineyard,88,49.0,California,Sonoma Coast, Pinot noir,Siduri
Argentina,"Dark, minty, inky aromas of blackberry are rugged. Same for the palate, which is pinched and rubbery, with grabby tannins. Flavors of toasted, blackened berry fruits are chocolaty and well oaked. Raw heat and minty, coffee flavors rev up the finish on this Malbec-led blend.",Trinità Grand Reserve,88,26.0,Mendoza Province,Luján de Cuyo, Bordeaux-style red blend,Piattelli
US,"Merlot (57%) takes the lead on this lighter-colored wine that offers raspberries, cherries, herbs and woodspice. The fruit flavors are fresh and elegant, with lightly chalky tannins.",Entwined,88,34.0,Washington,Columbia Valley (WA),bordeaux-style  red  blend,Pondera
Spain,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Negre,87,22.0,Catalonia,Montsant,Red blend ,Jaspi
France,Bright fruit is allied to a more mineral structure to give a wine that shows the freshness of the vintage plus a more long-term view. It is cool with red fruits and some firm tannins that act as a background. Drink from 2017.,,87,20.0,Bordeaux,Graves,BORDEAUX-STYLE RED BLEND ,Château Beauregard Lagupeau
France,"Owned by the Cruse family, one of the Bordeaux wine aristocracy, this rich wine is dominated by Merlot, giving it ample weight. The 18 months of wood aging shows in the smoky edge to the wine, although this will soften. Drink from 2017.",,87,25.0,Bordeaux,Haut-Médoc,bordeaux-style  red  blend,Château du Taillan
France,"The smoky aroma and toasty wood character smothers the fruit. It is a tough wine at this stage although it does hint at some of the 2012 juicy fruit flavors. Drink this firm, solid wine from 2018.",,87,20.0,Bordeaux,Saint-Estèphe,BORDEAUX-STYLE  RED  BLEND,Château la Haye
France,"Intensely tannic, this structured wine has layers of wood aging, along with juicy fruits and bright acidity. There's a strongly smoky element, the wine's fruitiness balanced by a dark, toasty aftertaste. Drink from 2018.",,87,20.0,Bordeaux,Fronsac,BORDEAUX-STYLE RED BLEND,Château Lalande Mausse
France,"This is a smoky, obviously wood-aged wine. The burnt toast character is still dominant, waiting for the attractive black currant fruits to catch up. It will develop into a bright, fruity wine, so wait until 2017.",,87,25.0,Bordeaux,Haut-Médoc, Bordeaux-style red blend,Château Magnol
US,"A creamy, buttery texture wraps around a core of bright lemon and apple flavors. This is balanced slightly toward sweetness as the luxurious viscosity carries the vivid flavors into the finish.",,87,10.0,California,California,CHARDONNAY,Grand Pacific
US,"Zesty and mineral, this unoaked, citrusy Chardonnay would make a particularly refreshing apéritif. Flavors of Asian pear and quince are crisp and cutting on the palate. Enjoy now for it's vivacious style.",Ingle Vineyard Unoaked,87,18.0,New York,Finger Lakes,CHARDONNAY ,Heron Hill
US,"Smoke and violet perfume are seductive on this elegant off-dry Riesling. Fresh green apple and pear flavors are tart but concentrated, wrapping up tightly with a squeaky-clean, lemon-lime finish.",Semi-Dry,87,14.0,New York,Finger Lakes,riesling,Heron Hill
US,"Intense notes of crushed stone and slate permeate this stately off-dry Riesling. Pert lemon and tangerine flavors are zippy and fresh, but the wine is more a showcase for its brisk, stony style.",Semi-Dry,87,14.0,New York,Finger Lakes,RIESLING ,Fox Run
France,"This ripe, now soft wine has gentle red fruits and soft acidity. It's ready to drink with its rich texture and smooth structure. The end is rounded, only just hinting at tannins.",,87,18.0,Bordeaux,Médoc, Bordeaux-style red blend,Château Roc Taillade
France,"Owned by the same family as Château Talbot in Saint-Julien, this vintage of Sénéjac is now mature, showing signs of leather and a firm structure rather than fruit. It's unlikely to develop further, so drink now.",,87,20.0,Bordeaux,Haut-Médoc,BORDEAUX-STYLE RED BLEND ,Château Sénéjac
US,"The aromas of this wine suggest plum, herb and pencil eraser. It's full flavored with dark blue fruit and chalky, dry tannins. An affordable and approachable wine best enjoyed now.",,87,11.0,Washington,Columbia Valley (WA),Merlot ,Castle Rock
